Term,LabMT Sentiment,WSU Sentiment,LabMT - WSU,abs(LabMT - WSU)
discovered,7,7,0,0
sites,6,6.000304878,-0.000304878,0.000304878
tennessee,5.82,5.820512821,-0.000512821,0.000512821
zoo,6.62,6.619047619,0.000952381,0.000952381
magazine,5.9,5.902439024,-0.002439024,0.002439024
cook,6.64,6.642857143,-0.002857143,0.002857143
calling,5.74,5.743589744,-0.003589744,0.003589744
minnesota,5.24,5.243902439,-0.003902439,0.003902439
streets,5.64,5.644207317,-0.004207317,0.004207317
dinner,7.4,7.395348837,0.004651163,0.004651163
window,6.1,6.095238095,0.004761905,0.004761905
tale,6.24,6.234883721,0.005116279,0.005116279
photos,6.94,6.945651248,-0.005651248,0.005651248
green,6.78,6.785714286,-0.005714286,0.005714286
mind,6.04,6.047619048,-0.007619048,0.007619048
door,5.38,5.372093023,0.007906977,0.007906977
house,6.34,6.332012195,0.007987805,0.007987805
tomorrow,6.18,6.170731707,0.009268293,0.009268293
texas,5.54,5.55,-0.01,0.01
queen,6.24,6.25,-0.01,0.01
strange,4.36,4.35,0.01,0.01
based,5.26,5.27027027,-0.01027027,0.01027027
i'll,5.38,5.365853659,0.014146341,0.014146341
terrorist,1.3,1.285714286,0.014285714,0.014285714
fun,7.96,7.945121951,0.014878049,0.014878049
fear,2.32,2.302325581,0.017674419,0.017674419
you're,5.3,5.282051282,0.017948718,0.017948718
cave,5.73,5.74796748,-0.01796748,0.01796748
app,5.2,5.181847546,0.018152455,0.018152455
wondered,6.42,6.43902439,-0.01902439,0.01902439
pillow,6.88,6.860465116,0.019534884,0.019534884
readers,6.16,6.139534884,0.020465116,0.020465116
complete,6.74,6.761904762,-0.021904762,0.021904762
find,6,5.975,0.025,0.025
agree,6.7,6.675,0.025,0.025
forward,6.1,6.073170732,0.026829268,0.026829268
vacation,7.92,7.947766704,-0.027766704,0.027766704
heart,7.22,7.25,-0.03,0.03
here's,5.12,5.15,-0.03,0.03
seasons,6.76,6.728587635,0.031412365,0.031412365
half,4.6,4.631578947,-0.031578947,0.031578947
saturday,7.42,7.452380952,-0.032380952,0.032380952
washington,6.04,6.073170732,-0.033170732,0.033170732
stars,7.1,7.066158537,0.033841463,0.033841463
top,6.76,6.725,0.035,0.035
